province,year,season,rice_yield,yield_class,expected_yield,residual
Tra Vinh,2006,winter_spring,51.1,Medium,52.18112717834629,-1.0811271783462857
Tra Vinh,2006,summer_autumn,41.3,Low,43.8374416017798,-2.537441601779804
Tra Vinh,2006,main_season,43.0,High,40.42162561576356,2.57837438423644
Tra Vinh,2007,winter_spring,46.3,Low,52.78842417500914,-6.488424175009143
Tra Vinh,2007,summer_autumn,47.4,High,44.43245828698559,2.9675417130144055
Tra Vinh,2007,main_season,33.8,Low,40.91901477832516,-7.119014778325166
Tra Vinh,2008,winter_spring,54.8,Medium,53.39572117167222,1.4042788283277758
Tra Vinh,2008,summer_autumn,47.8,High,45.027474972191385,2.772525027808612
Tra Vinh,2008,main_season,43.8,High,41.41640394088665,2.3835960591133443
Tra Vinh,2009,winter_spring,53.0,Medium,54.003018168335075,-1.0030181683350747
Tra Vinh,2009,summer_autumn,48.1,High,45.62249165739718,2.4775083426028246
Tra Vinh,2009,main_season,41.0,Medium,41.913793103448256,-0.9137931034482563
Tra Vinh,2010,winter_spring,58.3,High,54.61031516499793,3.689684835002069
Tra Vinh,2010,summer_autumn,46.6,Medium,46.21750834260297,0.3824916573970327
Tra Vinh,2010,main_season,46.9,High,42.41118226600986,4.488817733990139
Tra Vinh,2011,winter_spring,47.4,Low,55.21761216166101,-7.81761216166101
Tra Vinh,2011,summer_autumn,53.3,High,46.81252502780876,6.487474972191237
Tra Vinh,2011,main_season,47.7,High,42.90857142857146,4.79142857142854
Tra Vinh,2012,winter_spring,62.3,High,55.82490915832386,6.475090841676135
Tra Vinh,2012,summer_autumn,54.2,High,47.40754171301455,6.79245828698545
Tra Vinh,2012,main_season,51.8,High,43.405960591133066,8.39403940886693
Tra Vinh,2013,winter_spring,60.3,High,56.43220615498694,3.867793845013054
Tra Vinh,2013,summer_autumn,51.8,High,48.002558398220344,3.797441601779653
Tra Vinh,2013,main_season,51.7,High,43.903349753694556,7.796650246305447
Tra Vinh,2014,winter_spring,67.2,High,57.0395031516498,10.160496848350206
Tra Vinh,2014,summer_autumn,50.7,High,48.597575083426136,2.1024249165738667
Tra Vinh,2014,main_season,53.1,High,44.40073891625616,8.699261083743842
Tra Vinh,2015,winter_spring,68.1,High,57.64680014831288,10.453199851687117
Tra Vinh,2015,summer_autumn,52.3,High,49.19259176863193,3.107408231368069
Tra Vinh,2015,main_season,42.7,Low,44.89812807881776,-2.19812807881776
Tra Vinh,2016,winter_spring,40.4,Low,58.25409714497573,-17.854097144975732
Tra Vinh,2016,summer_autumn,47.9,Low,49.78760845383772,-1.8876084538377214
Tra Vinh,2016,main_season,44.6,Medium,45.395517241379366,-0.7955172413793647
Tra Vinh,2017,winter_spring,59.0,Medium,58.86139414163881,0.13860585836118844
Tra Vinh,2017,summer_autumn,49.0,Low,50.38262513904351,-1.3826251390435118
Tra Vinh,2017,main_season,44.6,Low,45.892906403940856,-1.2929064039408544
Tra Vinh,2018,winter_spring,67.1,High,59.468691138301665,7.631308861698329
Tra Vinh,2018,summer_autumn,52.5,High,50.977641824249304,1.5223581757506963
Tra Vinh,2018,main_season,43.5,Low,46.39029556650246,-2.8902955665024592
Tra Vinh,2019,winter_spring,66.2,High,60.075988134964746,6.124011865035257
Tra Vinh,2019,summer_autumn,51.8,Medium,51.572658509455096,0.2273414905449016
Tra Vinh,2019,main_season,45.5,Low,46.88768472906406,-1.3876847290640626
Tra Vinh,2020,winter_spring,35.4,Low,60.6832851316276,-25.2832851316276
Tra Vinh,2020,summer_autumn,50.3,Low,52.16767519466089,-1.8676751946608903
Tra Vinh,2020,main_season,37.8,Low,47.385073891625666,-9.585073891625669
Tra Vinh,2021,winter_spring,64.1,High,61.29058212829068,2.8094178717093143
Tra Vinh,2021,summer_autumn,51.4,Low,52.76269187986668,-1.3626918798666807
Tra Vinh,2021,main_season,50.0,High,47.882463054187156,2.1175369458128444
Tra Vinh,2022,winter_spring,65.0,High,61.89787912495353,3.1021208750464666
Tra Vinh,2022,summer_autumn,47.6,Low,53.35770856507247,-5.75770856507247
Tra Vinh,2022,main_season,47.4,Medium,48.37985221674876,-0.9798522167487604
Tra Vinh,2023,winter_spring,61.0,Low,62.50517612161639,-1.5051761216163868
Tra Vinh,2023,summer_autumn,51.8,Low,53.95272525027826,-2.152725250278266
Tra Vinh,2023,main_season,44.3,Low,48.87724137931036,-4.577241379310365
Tra Vinh,2024,winter_spring,67.0,High,63.11247311827947,3.8875268817205324
Tra Vinh,2024,summer_autumn,52.6,Low,54.547741935484055,-1.9477419354840535
Vinh Long,1995,winter_spring,52.3,Low,54.84924731182787,-2.5492473118278696
Vinh Long,1995,summer_autumn,36.0,High,33.27634408602148,2.7236559139785186
Vinh Long,1995,main_season,37.6,Medium,37.514545454545214,0.08545454545478748
Vinh Long,1996,winter_spring,55.6,Medium,55.40700037078227,0.19299962921773073
Vinh Long,1996,summer_autumn,34.9,Medium,34.16809047089373,0.731909529106268
Vinh Long,1996,main_season,36.2,Low,38.36242424242414,-2.1624242424241373
Vinh Long,1997,winter_spring,56.5,Medium,55.964753429736675,0.5352465702633253
Vinh Long,1997,summer_autumn,36.5,Medium,35.05983685576575,1.4401631442342477
Vinh Long,1997,main_season,40.7,Medium,39.21030303030284,1.4896969696971638
Vinh Long,1998,winter_spring,59.2,High,56.52250648869108,2.677493511308924
Vinh Long,1998,summer_autumn,33.9,Low,35.951583240637774,-2.0515832406377754
Vinh Long,1998,main_season,44.6,High,40.05818181818154,4.5418181818184635
Vinh Long,1999,winter_spring,54.7,Low,57.08025954764548,-2.3802595476454798
Vinh Long,1999,summer_autumn,37.0,Medium,36.843329625509796,0.15667037449020427
Vinh Long,1999,main_season,40.5,Medium,40.906060606060464,-0.4060606060604641
Vinh Long,2000,winter_spring,57.1,Medium,57.63801260659989,-0.5380126065998851
Vinh Long,2000,summer_autumn,38.2,Medium,37.735076010382045,0.464923989617958
Vinh Long,2000,main_season,38.4,Low,41.75393939393916,-3.3539393939391644
